العام,الربع,الكيان القانوني,المكتب,باب النشاط,قسم النشاط,حجم المنشأة,عدد المنشآت المسجلة بمشترك واحد أو أكثر
2024,الربع الأول,جمعية,مكتب منطقة الرياض,التعليم,التعليم,5 ~ 9,3
2024,الربع الأول,جمعية,مكتب منطقة الرياض,التعليم,التعليم,60 ~ 79,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,التعليم,التعليم,200 ~ 299,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الخدمات الإدارية وخدمات الدعم,أنشطة تقديم الخدمات للمباني وتجميل المواقع,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الخدمات الإدارية وخدمات الدعم,"الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال",1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الخدمات الإدارية وخدمات الدعم,"الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال",20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الخدمات الإدارية وخدمات الدعم,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,60 ~ 79,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,80 ~ 99,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الصناعة التحويلية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,المعلومات والاتصالات,أنشطة النشر,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,النقل والتخزين,النقل البري و النقل عبر الأنابيب,1 ~ 4,8
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,19
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,3
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",10 ~ 19,4
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",40 ~ 59,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,2
2024,الربع الأول,جمعية,مكتب منطقة الرياض,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية",1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة الرياض,غير محدد,غير محدد,1 ~ 4,5
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة الخدمات الأخرى,أنشطة الخدمات الشخصية الأخرى,40 ~ 59,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,17
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,5
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة خدمات الاقامة والطعام,الإقامة,40 ~ 59,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,33
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,15
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,10
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,7
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",40 ~ 59,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,أنشطة صحة الانسان والعمل الاجتماعي,الرعاية مع الإقامة,80 ~ 99,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,التعليم,التعليم,1 ~ 4,3
2024,الربع الأول,جمعية,مكتب منطقة القصيم,الخدمات الإدارية وخدمات الدعم,أنشطة تقديم الخدمات للمباني وتجميل المواقع,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,النقل والتخزين,النقل البري و النقل عبر الأنابيب,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,7
2024,الربع الأول,جمعية,مكتب منطقة القصيم,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",40 ~ 59,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة القصيم,غير محدد,غير محدد,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,6
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,10 ~ 19,3
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,24
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,7
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,أنشطة صحة الانسان والعمل الاجتماعي,الصحة البشرية,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة حائل,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,2
2024,الربع الأول,جمعية,مكتب منطقة حائل,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,2
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,12
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,3
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,2
2024,الربع الأول,جمعية,مكتب محافظة الخرج,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,المعلومات والاتصالات,أنشطة النشر,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",10 ~ 19,1
2024,الربع الأول,جمعية,مكتب محافظة الخرج,غير محدد,غير محدد,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,10
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,2
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,100 ~ 199,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة خدمات الاقامة والطعام,أنشطة خدمات الأطعمة والمشروبات,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,20
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,12
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,8
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,4
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",40 ~ 59,2
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",60 ~ 79,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",100 ~ 199,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",200 ~ 299,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,أنشطة صحة الانسان والعمل الاجتماعي,الرعاية مع الإقامة,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,الأنشطة العقارية,الأنشطة العقارية,1 ~ 4,3
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,الأنشطة المهنية والعلمية والتقنية,"أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة",1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,التعليم,التعليم,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,التعليم,التعليم,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,التعليم,التعليم,100 ~ 199,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,الخدمات الإدارية وخدمات الدعم,أنشطة تقديم الخدمات للمباني وتجميل المواقع,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,الفنون والترفيه والتسلية,الأنشطة الرياضية وأنشطة التسلية والترفيه,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,3
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة مكة المكرمة/جدة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",20 ~ 39,2
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة الخدمات الشخصية الأخرى,1 ~ 4,2
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة الخدمات الشخصية الأخرى,20 ~ 39,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,13
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,2
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,40 ~ 59,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,100 ~ 199,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة خدمات الاقامة والطعام,الإقامة,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,34
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,4
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,3
2024,الربع الأول,جمعية,مكتب مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,3
2024,الربع الأول,جمعية,مكتب مكة المكرمة,الأنشطة العقارية,الأنشطة العقارية,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,التشييد,تشييد المباني,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,6
2024,الربع الأول,جمعية,مكتب مكة المكرمة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,1
2024,الربع الأول,جمعية,مكتب مكة المكرمة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",10 ~ 19,2
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,4
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,26
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,13
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,3
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",20 ~ 39,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",40 ~ 59,3
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,أنشطة صحة الانسان والعمل الاجتماعي,الصحة البشرية,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,الأنشطة العقارية,الأنشطة العقارية,10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,التعليم,التعليم,1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,التعليم,التعليم,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,التعليم,التعليم,100 ~ 199,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة المدينة المنورة,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",1 ~ 4,1
2024,الربع الأول,جمعية,مكتب منطقة تبوك,أنشطة الخدمات الأخرى,أنشطة المنظمات ذات العضوية,1 ~ 4,5
2024,الربع الأول,جمعية,مكتب منطقة تبوك,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",1 ~ 4,12
2024,الربع الأول,جمعية,مكتب منطقة تبوك,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",5 ~ 9,3
2024,الربع الأول,جمعية,مكتب منطقة تبوك,أنشطة صحة الانسان والعمل الاجتماعي,"أنشطة العمل الاجتماعي، دون إقامة",10 ~ 19,1
2024,الربع الأول,جمعية,مكتب منطقة تبوك,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,40 ~ 59,1
2024,الربع الأول,جمعية,مكتب منطقة تبوك,الزراعة والحراجة وصيد الأسماك,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1 ~ 4,2
2024,الربع الأول,جمعية,مكتب منطقة تبوك,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",5 ~ 9,1
2024,الربع الأول,جمعية,مكتب منطقة تبوك,تجارة الجملة والتجزئة  وإصلاح المركبات ذات المحركات والدرجات النارية,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",10 ~ 19,1
